mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,gibbs_temperature,sender_type,n_informed_filters,shared_embedding,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,10,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,2,30,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,10,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,agnostic,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,informed,20,FALSE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,agnostic,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
train,models/local_only,FALSE,{TIMESTAMP}-{sender_type:.3}-{roles:.3}-{n_active_images}-{gibbs_temperature},switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,TRUE,50,50,4,30,informed,20,TRUE,FALSE,reinforce_multi,TRUE,FALSE
