,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,gibbs_temperature,sender_type,n_informed_filters,shared_embedding,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,201008-015949-agn-fix-2-10,fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,agnostic,20,False,False,reinforce_multi,True,False,5790,,0.8150000000000002,0.0,19.678414570284875
1,train,models/local_only,False,201008-021006-inf-fix-2-10,fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,informed,20,False,False,reinforce_multi,True,False,18390,,0.7483333333333333,0.0,15.387007506334687
2,train,models/local_only,False,201008-022035-agn-swi-2-10,switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,agnostic,20,False,False,reinforce_multi,True,False,6690,,0.7983333333333336,0.0,13.870832707519762
3,train,models/local_only,False,201008-023041-inf-swi-2-10,switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,informed,20,False,False,reinforce_multi,True,False,,,0.6399999999999999,2.0,9.006664199358163
4,train,models/local_only,False,201008-024107-agn-fix-2-10,fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,agnostic,20,True,False,reinforce_multi,True,False,3990,,0.8133333333333335,0.0,19.596938536414303
5,train,models/local_only,False,201008-025113-inf-fix-2-10,fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,informed,20,True,False,reinforce_multi,True,False,,,0.6483333333333332,1.0,10.031948963187562
6,train,models/local_only,False,201008-030137-agn-swi-2-10,switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,agnostic,20,True,False,reinforce_multi,True,False,3570,,0.8366666666666667,0.0,14.089712559168836
7,train,models/local_only,False,201008-031147-inf-swi-2-10,switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,10,informed,20,True,False,reinforce_multi,True,False,,,0.52,4.0,2.6683328128252666
8,train,models/local_only,False,201008-032215-agn-fix-2-30,fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,30,agnostic,20,False,False,reinforce_multi,True,False,4380,,0.8033333333333335,0.0,19.742340286804904
9,train,models/local_only,False,201008-033238-inf-fix-2-30,fixed,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,30,informed,20,False,False,reinforce_multi,True,False,4800,,0.75,0.0,13.981416237277251
10,train,models/local_only,False,201008-034314-agn-swi-2-30,switch,20000,30,data/mcrae-484x50-vgg19.emb.gz,True,50,50,2,30,agnostic,20,False,False,reinforce_multi,True,False,5700,,0.8133333333333335,0.0,12.079735096433199
